0.000000	-0.000000	0.000000	0.785398	-0.523599	0.261799
0.000000	-0.005000	-0.070000	0.785295	-0.523526	0.261973
0.000222	-0.010026	-0.140584	0.785193	-0.523421	0.262130
0.000667	-0.015078	-0.211752	0.785093	-0.523286	0.262272
0.001334	-0.020156	-0.283504	0.784995	-0.523121	0.262398
0.002222	-0.025260	-0.355841	0.784898	-0.522928	0.262509
0.003332	-0.030389	-0.428761	0.784803	-0.522705	0.262604
0.004663	-0.035545	-0.502266	0.784709	-0.522456	0.262684
0.006215	-0.040725	-0.576355	0.784616	-0.522179	0.262748
0.007987	-0.045932	-0.651028	0.784524	-0.521876	0.262797
0.009980	-0.051163	-0.726285	0.784433	-0.521548	0.262832
0.012193	-0.056420	-0.802126	0.784344	-0.521195	0.262851
0.014625	-0.061702	-0.878551	0.784255	-0.520818	0.262855
0.017276	-0.067009	-0.955560	0.784167	-0.520418	0.262844
0.020147	-0.072340	-1.033151	0.784079	-0.519994	0.262819
0.023236	-0.077695	-1.111326	0.783992	-0.519549	0.262778
0.026543	-0.083075	-1.190084	0.783905	-0.519082	0.262723
0.030067	-0.088478	-1.269425	0.783818	-0.518595	0.262654
0.033809	-0.093905	-1.349347	0.783732	-0.518087	0.262570
0.037769	-0.099355	-1.429852	0.783646	-0.517560	0.262471
0.041944	-0.104828	-1.510939	0.783559	-0.517015	0.262358
0.046336	-0.110324	-1.592607	0.783473	-0.516450	0.262230
0.050944	-0.115841	-1.674856	0.783386	-0.515869	0.262088
0.055767	-0.121381	-1.757686	0.783299	-0.515270	0.261932
0.060805	-0.126943	-1.841095	0.783211	-0.514655	0.261762
0.066058	-0.132525	-1.925085	0.783123	-0.514024	0.261577
0.071524	-0.138129	-2.009653	0.783033	-0.513378	0.261378
0.077205	-0.143753	-2.094801	0.782943	-0.512718	0.261166
0.083098	-0.149397	-2.180526	0.782853	-0.512043	0.260939
0.089204	-0.155060	-2.266829	0.782761	-0.511355	0.260698
0.095523	-0.160743	-2.353710	0.782667	-0.510654	0.260443
0.102053	-0.166444	-2.441167	0.782573	-0.509941	0.260175
0.108795	-0.172164	-2.529200	0.782477	-0.509215	0.259893
0.115748	-0.177902	-2.617809	0.782380	-0.508479	0.259597
0.122912	-0.183657	-2.706992	0.782281	-0.507732	0.259287
0.130286	-0.189430	-2.796750	0.782180	-0.506974	0.258963
0.137869	-0.195219	-2.887081	0.782078	-0.506207	0.258626
0.145661	-0.201023	-2.977985	0.781973	-0.505430	0.258275
0.153663	-0.206844	-3.069461	0.781867	-0.504645	0.257911
0.161872	-0.212679	-3.161508	0.781758	-0.503852	0.257533
0.170290	-0.218529	-3.254127	0.781647	-0.503051	0.257141
0.178914	-0.224394	-3.347315	0.781534	-0.502243	0.256736
0.187746	-0.230271	-3.441073	0.781418	-0.501428	0.256318
0.196785	-0.236162	-3.535399	0.781300	-0.500606	0.255886
0.206029	-0.242066	-3.630293	0.781179	-0.499779	0.255440
0.215479	-0.247981	-3.725754	0.781055	-0.498946	0.254982
0.225135	-0.253908	-3.821781	0.780928	-0.498109	0.254510
0.234995	-0.259846	-3.918374	0.780798	-0.497266	0.254024
0.245060	-0.265795	-4.015531	0.780665	-0.496420	0.253525
0.255328	-0.271753	-4.113251	0.780529	-0.495570	0.253013
0.265800	-0.277721	-4.211535	0.780390	-0.494717	0.252488
0.276475	-0.283698	-4.310380	0.780247	-0.493861	0.251949
0.287353	-0.289683	-4.409787	0.780101	-0.493003	0.251398
0.298434	-0.295676	-4.509753	0.779951	-0.492142	0.250833
0.309716	-0.301676	-4.610279	0.779797	-0.491280	0.250254
0.321199	-0.307683	-4.711363	0.779639	-0.490416	0.249663
0.332884	-0.313696	-4.813005	0.779478	-0.489552	0.249058
0.344770	-0.319715	-4.915203	0.779312	-0.488687	0.248440
0.356856	-0.325739	-5.017957	0.779143	-0.487822	0.247809
0.369142	-0.331768	-5.121265	0.778969	-0.486957	0.247165
0.381627	-0.337800	-5.225126	0.778791	-0.486092	0.246508
0.394312	-0.343836	-5.329541	0.778608	-0.485229	0.245837
0.407196	-0.349875	-5.434507	0.778421	-0.484366	0.245154
0.420278	-0.355916	-5.540023	0.778229	-0.483505	0.244457
0.433559	-0.361960	-5.646089	0.778033	-0.482646	0.243747
0.447038	-0.368004	-5.752704	0.777832	-0.481789	0.243024
0.460714	-0.374050	-5.859866	0.777626	-0.480934	0.242287
0.474587	-0.380095	-5.967574	0.777415	-0.480082	0.241538
0.488658	-0.386141	-6.075828	0.777199	-0.479233	0.240775
0.502925	-0.392186	-6.184627	0.776978	-0.478387	0.240000
0.517389	-0.398229	-6.293969	0.776752	-0.477545	0.239211
0.532049	-0.404270	-6.403852	0.776520	-0.476707	0.238409
0.546905	-0.410309	-6.514277	0.776283	-0.475872	0.237593
0.561957	-0.416346	-6.625242	0.776041	-0.475043	0.236765
0.577204	-0.422379	-6.736746	0.775793	-0.474217	0.235923
0.592646	-0.428407	-6.848788	0.775539	-0.473397	0.235068
0.608283	-0.434432	-6.961367	0.775280	-0.472581	0.234200
0.624115	-0.440451	-7.074481	0.775014	-0.471771	0.233319
0.640141	-0.446466	-7.188129	0.774743	-0.470967	0.232424
0.656362	-0.452474	-7.302311	0.774467	-0.470168	0.231516
0.672778	-0.458476	-7.417025	0.774184	-0.469375	0.230595
0.689387	-0.464471	-7.532270	0.773895	-0.468589	0.229661
0.706190	-0.470458	-7.648045	0.773599	-0.467808	0.228713
0.723187	-0.476438	-7.764349	0.773298	-0.467035	0.227752
